method,seed,series_id,mse,mae,poisson_nll_no_const,n,mean_count
ema,0,M10-1,1049.2022112708576,28.302994547994327,-0.5195627550165279,46,28.5
fourier,0,M10-1,1065.392223245682,28.44611819060395,26.27702229926695,46,28.5
dynamic_harmonic_nb,0,M10-1,1031.8134202110912,27.961360949115896,91.47982120429955,46,28.5
ema,1,M16-1,1033.4908858484634,28.1786220058247,-0.5958652755026212,46,28.5
fourier,1,M16-1,1049.9258166332963,28.322562551885703,19.836240481833446,46,28.5
dynamic_harmonic_nb,1,M16-1,1003.9963177580802,27.522958978795725,151.55685273762853,46,28.5
ema,2,M30-1,1038.2558499517404,28.12208903297419,-0.49458319041975374,46,28.479166666666668
fourier,2,M30-1,1055.3879629755957,28.292209359252173,19.201836570129686,46,28.479166666666668
dynamic_harmonic_nb,2,M30-1,996.3430955483208,26.909223748356162,91.12916811452203,46,28.479166666666668
ema,3,M16-2,1034.7597704210077,28.11554488465115,-0.34274348544280014,46,28.4375
fourier,3,M16-2,1053.1185547101738,28.256371676503637,24.88343429212785,46,28.4375
dynamic_harmonic_nb,3,M16-2,1023.1737272675875,27.817472948885346,150.13313008578712,46,28.4375
ema,4,M20-1,1038.2787760197193,28.11616526388899,-0.5027981250434247,46,28.4375
fourier,4,M20-1,1055.459008867994,28.26780306229505,20.92699684559247,46,28.4375
dynamic_harmonic_nb,4,M20-1,1019.4288824163336,27.65290578789385,161.5558712064389,46,28.4375
ema,5,M20-2,1036.0629432715484,28.122079568618837,-0.599159053163669,46,28.4375
fourier,5,M20-2,1055.1195568713963,28.27203373172603,25.67061646703373,46,28.4375
dynamic_harmonic_nb,5,M20-2,723.7400580749216,22.943326159253754,-2.552994324035811,46,28.4375
ema,6,M30-2,1065.522293045736,28.246659894081898,-0.36461430367275866,46,28.4375
fourier,6,M30-2,1086.4489215866656,28.42727866500011,30.586837651323837,46,28.4375
dynamic_harmonic_nb,6,M30-2,1086.5959521501466,28.41034794368003,101.43806664800968,46,28.4375
ema,7,M40-1,1041.6677753761483,28.096210722130373,-0.5049075984954219,46,28.4375
fourier,7,M40-1,1059.3300813073206,28.25423533528115,19.27791383645549,46,28.4375
dynamic_harmonic_nb,7,M40-1,669.1066674544425,21.037584802146238,36.48849178812833,46,28.4375
ema,8,M40-2,1028.6526783125223,28.238589148357164,-0.7709475985615555,46,28.4375
fourier,8,M40-2,1047.518472279655,28.410616790158,25.38551477433466,46,28.4375
dynamic_harmonic_nb,8,M40-2,1049.5129767313504,28.422515979475758,42.83837628015286,46,28.4375
ema,9,M50-1,1041.6677753761483,28.096210722130373,-0.5049075984954219,46,28.4375
fourier,9,M50-1,1059.3300813073206,28.25423533528115,19.27791383645549,46,28.4375
dynamic_harmonic_nb,9,M50-1,669.1066674544425,21.037584802146238,36.48849178812833,46,28.4375
ema,10,M50-2,1035.2607935750598,28.25794771946469,-0.6839611407446307,46,28.4375
fourier,10,M50-2,1053.53544985913,28.422737904415083,25.079020386842902,46,28.4375
dynamic_harmonic_nb,10,M50-2,1055.6219762299938,28.43503372667438,40.990645686844445,46,28.4375
ema,11,M60-1,1025.5458234015182,27.969616946523463,-0.585608305134742,46,28.4375
fourier,11,M60-1,1042.2605533940348,28.117774181058017,25.538681967352517,46,28.4375
dynamic_harmonic_nb,11,M60-1,663.6326975970339,20.821414936313424,37.45317529957151,46,28.4375
ema,12,M60-2,1035.068188584103,28.256824157960104,-0.6394164107268192,46,28.4375
fourier,12,M60-2,1053.009396707721,28.4090643737967,25.379743908822913,46,28.4375
dynamic_harmonic_nb,12,M60-2,1055.5570995148582,28.432906839620056,46.08328028150841,46,28.4375
ema,13,M70-1,1037.9956834405964,27.970118772323616,-0.5165540077183971,46,28.4375
fourier,13,M70-1,1055.3199783744803,28.118845034237864,19.35091330688324,46,28.4375
dynamic_harmonic_nb,13,M70-1,684.1070549932431,21.167224307154846,36.852455404405966,46,28.4375
ema,14,M70-2,1067.5304539555973,28.399093826443366,-0.08412790001318725,46,28.4375
fourier,14,M70-2,1086.2743406691607,28.548372508101235,28.04959912419575,46,28.4375
dynamic_harmonic_nb,14,M70-2,1088.3482227268757,28.57655169905542,72.80483506192648,46,28.4375
ema,15,M80-1,1025.3360851337989,27.970913425440127,-0.6183633704029589,46,28.4375
fourier,15,M80-1,1042.5894171890418,28.126460134716705,25.056385199992793,46,28.4375
dynamic_harmonic_nb,15,M80-1,668.010862217288,20.95229963937685,37.6666618524363,46,28.4375
ema,16,M80-2,1032.0304811951607,28.39638330001203,-0.48901122941280856,46,28.4375
fourier,16,M80-2,1049.3376933410452,28.553655874290193,24.041521386476564,46,28.4375
dynamic_harmonic_nb,16,M80-2,1053.2158184958735,28.58468298337255,71.62905643673437,46,28.4375
ema,17,M10-2,1059.448686323869,28.09686433620198,-0.2507681675273453,46,28.416666666666668
fourier,17,M10-2,1078.970675719501,28.24065205763984,34.62707479321134,46,28.416666666666668
dynamic_harmonic_nb,17,M10-2,677.2704059928965,21.210565398350752,45.84668965910254,46,28.416666666666668
ema,18,Y10-2,942.3851598724412,25.48321470465922,3.786175459805968,46,25.270833333333332
fourier,18,Y10-2,965.1665543067155,25.732192793521698,44.328008264837926,46,25.270833333333332
dynamic_harmonic_nb,18,Y10-2,956.6805898706439,25.59765928538731,105.98723550503196,46,25.270833333333332
ema,19,K10-2,683.9692194742837,23.01765509626807,4.571784909462499,46,23.520833333333332
fourier,19,K10-2,692.993307439103,23.102544989154655,24.47932988067305,46,23.520833333333332
dynamic_harmonic_nb,19,K10-2,450.0852311387027,17.996207636455505,46.39164232524627,46,23.520833333333332
ema,20,K20-2,672.2877753759715,23.017152593250536,4.500120401711013,46,23.520833333333332
fourier,20,K20-2,681.3606595144727,23.109195573433897,23.559356830116872,46,23.520833333333332
dynamic_harmonic_nb,20,K20-2,422.480572446629,17.482495365395895,50.81677844099454,46,23.520833333333332
ema,21,Y10-1,557.4683507195274,21.273188805701253,6.916757973571674,46,21.8125
fourier,21,Y10-1,561.7392833689884,21.33004121087537,20.284746257680204,46,21.8125
dynamic_harmonic_nb,21,Y10-1,553.3578915926855,21.149570768516043,61.51929298534255,46,21.8125
ema,22,H10,574.6910186100813,21.41991759011734,6.667629569422206,46,21.5
fourier,22,H10,584.0419992758253,21.556238483813466,19.185792964568297,46,21.5
dynamic_harmonic_nb,22,H10,345.565766944158,15.398879197302204,38.99947130580453,46,21.5
ema,23,H40,574.7768412898189,21.418955986643727,6.8065619024820805,46,21.5
fourier,23,H40,583.8103181422161,21.55203594309317,18.457343440780356,46,21.5
dynamic_harmonic_nb,23,H40,345.6149307333168,15.40830182889014,38.79868528517972,46,21.5
